334	388	φοβηθῇς
335	389	παραλαβεῖν
336	390	Μαρίαν
337	391	τὴν
338	392	γυναῖκά
339	393	σου
340	395	τὸ
341	396	γὰρ
342	397	ἐν
343	398	αὐτῇ
344	399	γεννηθὲν
345	400	ἐκ
346	401	πνεύματός
347	402	ἐστιν
348	403	ἁγίου
349	405	τέξεται
350	406	δὲ
351	407	υἱόν
352	408	καὶ
353	409	καλέσεις
354	410	τὸ
355	411	ὄνομα
356	412	αὐτοῦ
357	413	Ἰησοῦν
358	415	αὐτὸς
359	416	γὰρ
360	417	σώσει
361	418	τὸν
362	419	λαὸν
363	420	αὐτοῦ
364	421	ἀπὸ
365	422	τῶν
366	423	ἁμαρτιῶν
367	424	αὐτῶν
368	426	τοῦτο
369	427	δὲ
370	428	ὅλον
371	429	γέγονεν
372	430	ἵνα
373	431	πληρωθῇ
374	432	τὸ
375	433	ῥηθὲν
376	434	ὑπὸ
377	435	κυρίου
378	436	διὰ
379	437	τοῦ
380	438	προφήτου
381	439	λέγοντος
382	441	ἰδοὺ
383	442	ἡ
384	443	παρθένος
385	444	ἐν
386	445	γαστρὶ
387	446	ἕξει
388	447	καὶ
389	448	τέξεται
390	449	υἱόν
391	451	καὶ
392	452	καλέσουσιν
393	453	τὸ
394	454	ὄνομα
395	455	αὐτοῦ
396	456	Ἐμμανουήλ
397	458	ὅ
398	459	ἐστιν
399	460	μεθερμηνευόμενον
400	461	μεθ᾽
401	462	ἡμῶν
402	463	ὁ
403	464	θεός
404	466	ἐγερθεὶς
405	467	δὲ
406	468	ὁ
407	469	Ἰωσὴφ
408	470	ἀπὸ
409	471	τοῦ
410	472	ὕπνου
411	473	ἐποίησεν
412	474	ὡς
413	475	προσέταξεν
414	476	αὐτῷ
415	477	ὁ
416	478	ἄγγελος
417	479	κυρίου
418	480	καὶ
419	481	παρέλαβεν
420	482	τὴν
421	483	γυναῖκα
422	484	αὐτοῦ
423	486	καὶ
424	487	οὐκ
425	488	ἐγίνωσκεν
426	489	αὐτὴν
427	490	ἕως
428	491	οὗ
429	492	ἔτεκεν
430	493	υἱόν
431	495	καὶ
432	496	ἐκάλεσεν
433	497	τὸ
434	498	ὄνομα
435	499	αὐτοῦ
436	500	Ἰησοῦν
437	502	Τοῦ
438	503	δὲ
439	504	Ἰησοῦ
440	505	γεννηθέντος
441	506	ἐν
442	507	Βηθλέεμ
443	508	τῆς
444	509	Ἰουδαίας
445	510	ἐν
446	511	ἡμέραις
447	512	Ἡρῴδου
448	513	τοῦ
449	514	βασιλέως
450	516	ἰδοὺ
451	517	μάγοι
452	518	ἀπὸ
453	519	ἀνατολῶν
454	520	παρεγένοντο
455	521	εἰς
456	522	Ἱεροσόλυμα
457	523	λέγοντες
458	525	ποῦ
459	526	ἐστιν
460	527	ὁ
461	528	τεχθεὶς
462	529	βασιλεὺς
463	530	τῶν
464	531	Ἰουδαίων
465	533	εἴδομεν
466	534	γὰρ
467	535	αὐτοῦ
468	536	τὸν
469	537	ἀστέρα
470	538	ἐν
471	539	τῇ
472	540	ἀνατολῇ
473	541	καὶ
474	542	ἤλθομεν
475	543	προσκυνῆσαι
476	544	αὐτῷ
477	546	ἀκούσας
478	547	δὲ
479	548	ὁ
480	549	βασιλεὺς
481	550	Ἡρῴδης
482	551	ἐταράχθη
483	552	καὶ
484	553	πᾶσα
485	554	Ἱεροσόλυμα
486	555	μετ᾽
487	556	αὐτοῦ
488	558	καὶ
489	559	συναγαγὼν
490	560	πάντας
491	561	τοὺς
492	562	ἀρχιερεῖς
493	563	καὶ
494	564	γραμματεῖς
495	565	τοῦ
496	566	λαοῦ
497	567	ἐπυνθάνετο
498	568	παρ᾽
499	569	αὐτῶν
500	570	ποῦ
501	571	ὁ
502	572	χριστὸς
503	573	γεννᾶται
504	575	οἱ
505	576	δὲ
506	577	εἶπαν
507	578	αὐτῷ
508	580	ἐν
509	581	Βηθλέεμ
510	582	τῆς
511	583	Ἰουδαίας
512	585	οὕτως
513	586	γὰρ
514	587	γέγραπται
515	588	διὰ
516	589	τοῦ
517	590	προφήτου
518	592	καὶ
519	593	σὺ
520	595	Βηθλέεμ
521	596	γῆ
522	597	Ἰούδα
523	599	οὐδαμῶς
524	600	ἐλαχίστη
525	601	εἶ
526	602	ἐν
527	603	τοῖς
528	604	ἡγεμόσιν
529	605	Ἰούδα
530	607	ἐκ
531	608	σοῦ
532	609	γὰρ
533	610	ἐξελεύσεται
534	611	ἡγούμενος
535	613	ὅστις
536	614	ποιμανεῖ
537	615	τὸν
538	616	λαόν
539	617	μου
540	618	τὸν
541	619	Ἰσραήλ
542	621	Τότε
543	622	Ἡρῴδης
544	623	λάθρᾳ
545	624	καλέσας
546	625	τοὺς
547	626	μάγους
548	627	ἠκρίβωσεν
549	628	παρ᾽
550	629	αὐτῶν
551	630	τὸν
552	631	χρόνον
553	632	τοῦ
554	633	φαινομένου
555	634	ἀστέρος
556	636	καὶ
557	637	πέμψας
558	638	αὐτοὺς
559	639	εἰς
560	640	Βηθλέεμ
561	641	εἶπεν
562	643	πορευθέντες
563	644	ἐξετάσατε
564	645	ἀκριβῶς
565	646	περὶ
566	647	τοῦ
567	648	παιδίου
568	650	ἐπὰν
569	651	δὲ
570	652	εὕρητε
571	654	ἀπαγγείλατέ
572	655	μοι
573	657	ὅπως
574	658	κἀγὼ
575	659	ἐλθὼν
576	660	προσκυνήσω
577	661	αὐτῷ
578	663	Οἱ
579	664	δὲ
580	665	ἀκούσαντες
581	666	τοῦ
582	667	βασιλέως
583	668	ἐπορεύθησαν
584	670	καὶ
585	671	ἰδοὺ
586	672	ὁ
587	673	ἀστήρ
588	674	ὃν
589	675	εἶδον
590	676	ἐν
591	677	τῇ
592	678	ἀνατολῇ
593	679	προῆγεν
594	680	αὐτούς
595	682	ἕως
596	683	ἐλθὼν
597	684	ἐστάθη
598	685	ἐπάνω
599	686	οὗ
600	687	ἦν
601	688	τὸ
602	689	παιδίον
603	691	ἰδόντες
604	692	δὲ
605	693	τὸν
606	694	ἀστέρα
607	695	ἐχάρησαν
608	696	χαρὰν
609	697	μεγάλην
610	698	σφόδρα
611	700	καὶ
612	701	ἐλθόντες
613	702	εἰς
614	703	τὴν
615	704	οἰκίαν
616	705	εἶδον
617	706	τὸ
618	707	παιδίον
619	708	μετὰ
620	709	Μαρίας
621	710	τῆς
622	711	μητρὸς
623	712	αὐτοῦ
624	714	καὶ
625	715	πεσόντες
626	716	προσεκύνησαν
627	717	αὐτῷ
628	719	καὶ
629	720	ἀνοίξαντες
630	721	τοὺς
631	722	θησαυροὺς
632	723	αὐτῶν
633	724	προσήνεγκαν
634	725	αὐτῷ
635	726	δῶρα
636	728	χρυσὸν
637	729	καὶ
638	730	λίβανον
639	731	καὶ
640	732	σμύρναν
641	734	Καὶ
642	735	χρηματισθέντες
643	736	κατ᾽
644	737	ὄναρ
645	738	μὴ
646	739	ἀνακάμψαι
647	740	πρὸς
648	741	Ἡρῴδην
649	742	δι᾽
650	743	ἄλλης
651	744	ὁδοῦ
652	745	ἀνεχώρησαν
653	746	εἰς
654	747	τὴν
655	748	χώραν
656	749	αὐτῶν
657	751	Ἀναχωρησάντων
658	752	δὲ
659	753	αὐτῶν
660	754	ἰδοὺ
661	755	ἄγγελος
662	756	κυρίου
663	757	φαίνεται
664	758	κατ᾽
665	759	ὄναρ
666	760	τῷ
667	761	Ἰωσὴφ
668	762	λέγων
669	764	ἐγερθεὶς
670	765	παράλαβε
671	766	τὸ
672	767	παιδίον
673	768	καὶ
674	769	τὴν
675	770	μητέρα
676	771	αὐτοῦ
677	772	καὶ
678	773	φεῦγε
679	774	εἰς
680	775	Αἴγυπτον
681	777	καὶ
682	778	ἴσθι
683	779	ἐκεῖ
684	780	ἕως
685	781	ἂν
686	782	εἴπω
687	783	σοι
688	785	μέλλει
689	786	γὰρ
690	787	Ἡρῴδης
691	788	ζητεῖν
692	789	τὸ
693	790	παιδίον
694	791	τοῦ
695	792	ἀπολέσαι
696	793	αὐτό
697	795	ὁ
698	796	δὲ
699	797	ἐγερθεὶς
700	798	παρέλαβεν
701	799	τὸ
702	800	παιδίον
703	801	καὶ
704	802	τὴν
705	803	μητέρα
706	804	αὐτοῦ
707	805	νυκτὸς
708	806	καὶ
709	807	ἀνεχώρησεν
710	808	εἰς
711	809	Αἴγυπτον
712	811	καὶ
713	812	ἦν
714	813	ἐκεῖ
715	814	ἕως
716	815	τῆς
717	816	τελευτῆς
718	817	Ἡρῴδου
719	819	ἵνα
720	820	πληρωθῇ
721	821	τὸ
722	822	ῥηθὲν
723	823	ὑπὸ
724	824	κυρίου
725	825	διὰ
726	826	τοῦ
727	827	προφήτου
728	828	λέγοντος
729	830	ἐξ
730	831	Αἰγύπτου
731	832	ἐκάλεσα
732	833	τὸν
733	834	υἱόν
734	835	μου
735	837	Τότε
736	838	Ἡρῴδης
