Book	Chapter	Verse	OGNT	TANTT
58	9	1	Εἶχε	Εἶχεν
58	9	18	ἐνκεκαίνισται	ἐγκεκαίνισται
58	9	19	ἐράντισεν	ἐρράντισεν
58	9	21	ἐράντισεν	ἐρράντισεν
58	11	9	συνκληρονόμων	συγκληρονόμων
58	11	25	συνκακουχεῖσθαι	συγκακουχεῖσθαι
58	12	21	οὕτω	οὕτως
58	12	23	πνεύμασι	πνεύμασιν
59	1	20	οὐκ	οὐ
59	1	26	ἀλλὰ	ἀλλ᾽
59	3	15	ἀλλὰ	ἀλλ᾽
60	1	23	ἀλλὰ	ἀλλ᾽
60	2	25	ἀλλὰ	ἀλλ᾽
60	3	7	συνκληρονόμοις	συγκληρονόμοις
60	3	7	ἐνκόπτεσθαι	ἐγκόπτεσθαι
60	4	6	κριθῶσι	κριθῶσιν
60	4	6	ζῶσι	ζῶσιν
60	5	2	ἀλλὰ	ἀλλ᾽
61	1	21	ἀλλὰ	ἀλλ᾽
61	2	5	ἀλλὰ	ἀλλ᾽
61	2	8	ἐνκατοικῶν	ἐγκατοικῶν
62	2	16	ἀλλὰ	ἀλλ᾽
62	3	18	ἀλλὰ	ἀλλ᾽
63	1	5	ἀλλὰ	ἀλλ᾽
63	1	12	ἀλλὰ	ἀλλ᾽
65	1	6	ἀλλὰ	ἀλλ᾽
65	1	9	ἀλλὰ	ἀλλ᾽
66	1	9	συνκοινωνὸς	συγκοινωνὸς
66	2	4	Ἀλλὰ	ἀλλ᾽
66	2	20	Ἀλλὰ	ἀλλ᾽
66	2	25	ἄχρι	ἄχρις
66	3	4	Ἀλλὰ	ἀλλ᾽
66	9	4	ἔχουσι	ἔχουσιν
66	16	18	οὕτω	οὕτως
66	17	12	ἀλλὰ	ἀλλ᾽
66	18	4	συνκοινωνήσητε	συγκοινωνήσητε
