GrkSortIncl	OGNT	N1904
378	αὐτῆς	αὐτῆς,
379	δίκαιος	δίκαιος
380	ὢν	ὢν
381	καὶ	καὶ
382	μὴ	μὴ
383	θέλων	θέλων
384	αὐτὴν	αὐτὴν
385	δειγματίσαι	δειγματίσαι,
386	ἐβουλήθη	ἐβουλήθη
387	λάθρᾳ	λάθρᾳ
388	ἀπολῦσαι	ἀπολῦσαι
389	αὐτήν	αὐτήν.
394	Ταῦτα	Ταῦτα
395	δὲ	δὲ
396	αὐτοῦ	αὐτοῦ
397	ἐνθυμηθέντος	ἐνθυμηθέντος
398	ἰδοὺ	ἰδοὺ
399	ἄγγελος	ἄγγελος
400	Κυρίου	Κυρίου
401	κατ᾽	κατ᾽
402	ὄναρ	ὄναρ
403	ἐφάνη	ἐφάνη
404	αὐτῷ	αὐτῷ
405	λέγων	λέγων
406	Ἰωσὴφ	“Ἰωσὴφ
407	υἱὸς	υἱὸς
408	Δαυίδ	Δαυίδ,
409	μὴ	μὴ
410	φοβηθῇς	φοβηθῇς
411	παραλαβεῖν	παραλαβεῖν
412	Μαρίαν	Μαρίαν
413	τὴν	τὴν
414	γυναῖκά	γυναῖκά
415	σου	σου,
416	τὸ	τὸ
417	γὰρ	γὰρ
418	ἐν	ἐν
419	αὐτῇ	αὐτῇ
420	γεννηθὲν	γεννηθὲν
421	ἐκ	ἐκ
422	Πνεύματός	Πνεύματός
423	ἐστιν	ἐστιν
424	Ἁγίου	Ἁγίου·
429	τέξεται	τέξεται
430	δὲ	δὲ
431	υἱὸν	υἱὸν
432	καὶ	καὶ
433	καλέσεις	καλέσεις
434	τὸ	τὸ
435	ὄνομα	ὄνομα
436	αὐτοῦ	αὐτοῦ
437	Ἰησοῦν	Ἰησοῦν·
438	αὐτὸς	αὐτὸς
439	γὰρ	γὰρ
440	σώσει	σώσει
441	τὸν	τὸν
442	λαὸν	λαὸν
443	αὐτοῦ	αὐτοῦ
444	ἀπὸ	ἀπὸ
445	τῶν	τῶν
446	ἁμαρτιῶν	ἁμαρτιῶν
447	αὐτῶν	αὐτῶν.
452	Τοῦτο	Τοῦτο
453	δὲ	δὲ
454	ὅλον	ὅλον
455	γέγονεν	γέγονεν
456	ἵνα	ἵνα
457	πληρωθῇ	πληρωθῇ
