FEATURESsort1	OGNTsort	NA27id
000308	000308	40.1.19!7
000309	000309	40.1.19!8
000310	000310	40.1.19!9
000311	000311	40.1.19!10
000312	000312	40.1.19!11
000313	000313	40.1.19!12
000314	000314	40.1.19!13
000315	000315	40.1.19!14
000316	000316	40.1.19!15
000317	000317	40.1.19!16
000318	000318	40.1.20!1
000319	000319	40.1.20!2
000320	000320	40.1.20!3
000321	000321	40.1.20!4
000322	000322	40.1.20!5
000323	000323	40.1.20!6
000324	000324	40.1.20!7
000325	000325	40.1.20!8
000326	000326	40.1.20!9
000327	000327	40.1.20!10
000328	000328	40.1.20!11
000329	000329	40.1.20!12
000330	000330	40.1.20!13
000331	000331	40.1.20!14
000332	000332	40.1.20!15
000333	000333	40.1.20!16
000334	000334	40.1.20!17
000335	000335	40.1.20!18
000336	000336	40.1.20!19
000337	000337	40.1.20!20
000338	000338	40.1.20!21
000339	000339	40.1.20!22
000340	000340	40.1.20!23
000341	000341	40.1.20!24
000342	000342	40.1.20!25
000343	000343	40.1.20!26
000344	000344	40.1.20!27
000345	000345	40.1.20!28
000346	000346	40.1.20!29
000347	000347	40.1.20!30
000348	000348	40.1.20!31
000349	000349	40.1.21!1
000350	000350	40.1.21!2
000351	000351	40.1.21!3
000352	000352	40.1.21!4
000353	000353	40.1.21!5
000354	000354	40.1.21!6
000355	000355	40.1.21!7
000356	000356	40.1.21!8
000357	000357	40.1.21!9
000358	000358	40.1.21!10
000359	000359	40.1.21!11
000360	000360	40.1.21!12
000361	000361	40.1.21!13
000362	000362	40.1.21!14
000363	000363	40.1.21!15
000364	000364	40.1.21!16
000365	000365	40.1.21!17
000366	000366	40.1.21!18
000367	000367	40.1.21!19
000368	000368	40.1.22!1
000369	000369	40.1.22!2
000370	000370	40.1.22!3
000371	000371	40.1.22!4
000372	000372	40.1.22!5
000373	000373	40.1.22!6
000374	000374	40.1.22!7
000375	000375	40.1.22!8
000376	000376	40.1.22!9
000377	000377	40.1.22!10
000378	000378	40.1.22!11
000379	000379	40.1.22!12
000380	000380	40.1.22!13
000381	000381	40.1.22!14
000382	000382	40.1.23!1
000383	000383	40.1.23!2
000384	000384	40.1.23!3
000385	000385	40.1.23!4
000386	000386	40.1.23!5
000387	000387	40.1.23!6
000388	000388	40.1.23!7
000389	000389	40.1.23!8
000390	000390	40.1.23!9
000391	000391	40.1.23!10
000392	000392	40.1.23!11
000393	000393	40.1.23!12
000394	000394	40.1.23!13
000395	000395	40.1.23!14
000396	000396	40.1.23!15
000397	000397	40.1.23!16
000398	000398	40.1.23!17
000399	000399	40.1.23!18
000400	000400	40.1.23!19
000401	000401	40.1.23!20
000402	000402	40.1.23!21
000403	000403	40.1.23!22
000404	000404	40.1.24!1
000405	000405	40.1.24!2
000406	000406	40.1.24!3
000407	000407	40.1.24!4
000408	000408	40.1.24!5
000409	000409	40.1.24!6
000410	000410	40.1.24!7
000411	000411	40.1.24!8
000412	000412	40.1.24!9
000413	000413	40.1.24!10
000414	000414	40.1.24!11
000415	000415	40.1.24!12
000416	000416	40.1.24!13
000417	000417	40.1.24!14
000418	000418	40.1.24!15
000419	000419	40.1.24!16
000420	000420	40.1.24!17
000421	000421	40.1.24!18
000422	000422	40.1.24!19
000423	000423	40.1.25!1
000424	000424	40.1.25!2
000425	000425	40.1.25!3
000426	000426	40.1.25!4
000427	000427	40.1.25!5
000428	000428	40.1.25!6
000429	000429	40.1.25!7
000430	000430	40.1.25!8
000431	000431	40.1.25!9
000432	000432	40.1.25!10
000433	000433	40.1.25!11
000434	000434	40.1.25!12
000435	000435	40.1.25!13
