OGNTsort	book	chapter	verse	〈StrongNo｜AlternateStrongNo〉
124715	61	2	20	〈G2274｜〉
124716	61	2	20	〈G1096｜〉
124717	61	2	20	〈G846｜〉
124718	61	2	20	〈G3588｜〉
124719	61	2	20	〈G2078｜〉
124720	61	2	20	〈G5501｜〉
124721	61	2	20	〈G3588｜〉
124722	61	2	20	〈G4413｜〉
124723	61	2	21	〈G2908｜G2909〉
124724	61	2	21	〈G1063｜〉
124725	61	2	21	〈G1510｜〉
124726	61	2	21	〈G846｜〉
124727	61	2	21	〈G3361｜〉
124728	61	2	21	〈G1921｜〉
124729	61	2	21	〈G3588｜〉
124730	61	2	21	〈G3598｜〉
124731	61	2	21	〈G3588｜〉
124732	61	2	21	〈G1343｜〉
124733	61	2	21	〈G2228｜〉
124734	61	2	21	〈G1921｜〉
124735	61	2	21	〈G5290｜〉
124736	61	2	21	〈G1537｜〉
124737	61	2	21	〈G3588｜〉
124738	61	2	21	〈G3860｜〉
124739	61	2	21	〈G846｜〉
124740	61	2	21	〈G40｜〉
124741	61	2	21	〈G1785｜〉
124742	61	2	22	〈G4819｜〉
124743	61	2	22	〈G846｜〉
124744	61	2	22	〈G3588｜〉
124745	61	2	22	〈G3588｜〉
124746	61	2	22	〈G227｜〉
124747	61	2	22	〈G3942｜〉
124748	61	2	22	〈G2965｜〉
124749	61	2	22	〈G1994｜〉
124750	61	2	22	〈G1909｜〉
124751	61	2	22	〈G3588｜〉
124752	61	2	22	〈G2398｜〉
124753	61	2	22	〈G1829｜〉
124754	61	2	22	〈G2532｜〉
124755	61	2	22	〈G5300｜〉
124756	61	2	22	〈G3068｜〉
124757	61	2	22	〈G1519｜〉
124758	61	2	22	〈G2946｜〉
124759	61	2	22	〈G1004｜〉
124760	61	3	1	〈G3778｜〉
124761	61	3	1	〈G2235｜〉
124762	61	3	1	〈G27｜〉
124763	61	3	1	〈G1208｜〉
124764	61	3	1	〈G4771｜〉
124765	61	3	1	〈G1125｜〉
124766	61	3	1	〈G1992｜〉
124767	61	3	1	〈G1722｜〉
