FEATURESsort1	OGNTsort	OpenTextWord_KEY
000348	000348	40.1.20.w31
000349	000349	40.1.21.w1
000350	000350	40.1.21.w2
000351	000351	40.1.21.w3
000352	000352	40.1.21.w4
000353	000353	40.1.21.w5
000354	000354	40.1.21.w6
000355	000355	40.1.21.w7
000356	000356	40.1.21.w8
000357	000357	40.1.21.w9
000358	000358	40.1.21.w10
000359	000359	40.1.21.w11
000360	000360	40.1.21.w12
000361	000361	40.1.21.w13
000362	000362	40.1.21.w14
000363	000363	40.1.21.w15
000364	000364	40.1.21.w16
000365	000365	40.1.21.w17
000366	000366	40.1.21.w18
000367	000367	40.1.21.w19
000368	000368	40.1.22.w1
000369	000369	40.1.22.w2
000370	000370	40.1.22.w3
000371	000371	40.1.22.w4
000372	000372	40.1.22.w5
000373	000373	40.1.22.w6
000374	000374	40.1.22.w7
000375	000375	40.1.22.w8
000376	000376	40.1.22.w9
000377	000377	40.1.22.w10
000378	000378	40.1.22.w11
000379	000379	40.1.22.w12
000380	000380	40.1.22.w13
000381	000381	40.1.22.w14
000382	000382	40.1.23.w1
000383	000383	40.1.23.w2
000384	000384	40.1.23.w3
000385	000385	40.1.23.w4
000386	000386	40.1.23.w5
000387	000387	40.1.23.w6
000388	000388	40.1.23.w7
000389	000389	40.1.23.w8
000390	000390	40.1.23.w9
000391	000391	40.1.23.w10
000392	000392	40.1.23.w11
000393	000393	40.1.23.w12
000394	000394	40.1.23.w13
000395	000395	40.1.23.w14
000396	000396	40.1.23.w15
000397	000397	40.1.23.w16
000398	000398	40.1.23.w17
000399	000399	40.1.23.w18
000400	000400	40.1.23.w19
000401	000401	40.1.23.w20
000402	000402	40.1.23.w21
000403	000403	40.1.23.w22
000404	000404	40.1.24.w1
000405	000405	40.1.24.w2
000406	000406	40.1.24.w3
000407	000407	40.1.24.w4
000408	000408	40.1.24.w5
000409	000409	40.1.24.w6
000410	000410	40.1.24.w7
000411	000411	40.1.24.w8
000412	000412	40.1.24.w9
000413	000413	40.1.24.w10
000414	000414	40.1.24.w11
000415	000415	40.1.24.w12
000416	000416	40.1.24.w13
000417	000417	40.1.24.w14
000418	000418	40.1.24.w15
000419	000419	40.1.24.w16
000420	000420	40.1.24.w17
000421	000421	40.1.24.w18
000422	000422	40.1.24.w19
000423	000423	40.1.25.w1
000424	000424	40.1.25.w2
000425	000425	40.1.25.w3
000426	000426	40.1.25.w4
000427	000427	40.1.25.w5
000428	000428	40.1.25.w6
000429	000429	40.1.25.w7
000430	000430	40.1.25.w8
000431	000431	40.1.25.w9
000432	000432	40.1.25.w10
000433	000433	40.1.25.w11
000434	000434	40.1.25.w12
000435	000435	40.1.25.w13
000436	000436	40.1.25.w14
000437	000437	40.2.1.w1
000438	000438	40.2.1.w2
000439	000439	40.2.1.w3
000440	000440	40.2.1.w4
000441	000441	40.2.1.w5
000442	000442	40.2.1.w6
000443	000443	40.2.1.w7
000444	000444	40.2.1.w8
000445	000445	40.2.1.w9
000446	000446	40.2.1.w10
000447	000447	40.2.1.w11
000448	000448	40.2.1.w12
000449	000449	40.2.1.w13
000450	000450	40.2.1.w14
000451	000451	40.2.1.w15
000452	000452	40.2.1.w16
000453	000453	40.2.1.w17
000454	000454	40.2.1.w18
