OGNTsort	BGBsort	Book	Chapter	Verse	【Heading】	Crossref
076931	95382	44	19	8	【Paul Ministers in Ephesus】	『revelation｜2｜1｜Revelation 2:1-7』
077032	95503	44	19	13	【The Sons of Sceva】	
077187	95690	44	19	21	【The Riot in Ephesus】	
077576	96163	44	20	1	【Paul in Macedonia and Greece】	
077681	96292	44	20	7	【Eutychus Revived at Troas】	『john｜11｜38｜John 11:38-44』
077787	96422	44	20	13	【From Troas to Miletus】	
077868	96519	44	20	17	【Paul's Farewell to the Ephesians】	
078252	96992	44	21	1	【Paul's Journey to Jerusalem】	
078384	97152	44	21	8	<pm>¶</pm>【Paul Visits Philip the Evangelist】	
078551	97355	44	21	17	<pm>¶</pm>【Paul's Arrival at Jerusalem】	
078746	97590	44	21	27	【Paul Seized in the Temple】	
078957	97841	44	21	37	【Paul Speaks to the People】	
079050	97950	44	22	1	【Paul's Defense to the Crowd】	『acts｜9｜1｜Acts 9:1-9』『acts｜26｜1｜Acts 26:1-23』
079435	98419	44	22	22	【Paul the Roman Citizen】	
079619	98639	44	23	1	【Paul Before the Sanhedrin】	
079849	98915	44	23	12	【The Plot to Kill Paul】	『john｜16｜1｜John 16:1-4』
080082	99192	44	23	23	【Paul Sent to Felix】	
080281	99443	44	24	1	【Tertullus Prosecutes Paul】	
080404	99629	44	24	10	【Paul's Defense to Felix】	
080612	99885	44	24	22	【The Verdict Postponed】	
080739	100036	44	25	1	【Paul's Trial Before Festus】	
080899	100232	44	25	10	<pm>¶</pm>【The Appeal to Caesar】	
080962	100307	44	25	13	【Festus Consults King Agrippa】	
081146	100531	44	25	23	【Paul Before Agrippa and Bernice】	
081270	100675	44	26	1	【Paul's Testimony to Agrippa】	『acts｜9｜1｜Acts 9:1-9』『acts｜22｜1｜Acts 22:1-21』
081709	101206	44	26	24	【Festus Interrupts Paul's Defense】	
081866	101399	44	27	1	【Paul Sails for Rome】	
082094	101675	44	27	13	【The Storm at Sea】	『jeremiah｜6｜10｜Jeremiah 6:10-21』『jeremiah｜25｜15｜Jeremiah 25:15-33』『jonah｜1｜4｜Jonah 1:4-10』『romans｜1｜18｜Romans 1:18-32』
082302	101939	44	27	27	【The Shipwreck】	
082621	102330	44	28	1	【Ashore on Malta】	
082819	102568	44	28	11	【Paul Arrives in Italy】	
082896	102665	44	28	16	<pm>¶</pm>【Paul Preaches at Rome】	
083218	103071	45	1	1	<pm>¶</pm>【Greeting the Saints in Rome】	
083311	103192	45	1	8	【Paul's Desire to Visit Rome】	『1_thessalonians｜2｜17｜1 Thessalonians 2:17-20』
083454	103367	45	1	16	【Unashamed of the Gospel】	
083491	103412	45	1	18	【God's Wrath against Sin】	『jeremiah｜6｜10｜Jeremiah 6:10-21』『jeremiah｜25｜15｜Jeremiah 25:15-33』『jonah｜1｜4｜Jonah 1:4-10』『acts｜27｜13｜Acts 27:13-26』
083761	103742	45	2	1	【God's Righteous Judgment】	『genesis｜4｜1｜Genesis 4:1-7』『jude｜1｜3｜Jude 1:3-16』
084025	104071	45	2	17	【The Jews and the Law】	
084210	104308	45	3	1	【God Remains Faithful】	『psalms｜147｜1｜Psalm 147:1-20』『hebrews｜10｜1｜Hebrews 10:1-18』
084349	104479	45	3	9	【There is No One Righteous】	『psalms｜14｜1｜Psalm 14:1-7』
084482	104660	45	3	21	【Righteousness through Faith】	
084640	104862	45	4	1	【Abraham Justified by Faith】	『genesis｜15｜1｜Genesis 15:1-7』『galatians｜3｜1｜Galatians 3:1-9』『hebrews｜11｜8｜Hebrews 11:8-19』『james｜2｜14｜James 2:14-26』
084827	105097	45	4	13	【Abraham Receives the Promise】	『genesis｜15｜8｜Genesis 15:8-21』『numbers｜34｜1｜Numbers 34:1-15』
085042	105364	45	5	1	【The Triumph of Faith】	『john｜14｜27｜John 14:27-31』
085124	105466	45	5	6	<pm>¶</pm>【Christ's Sacrifice for the Ungodly】	『genesis｜22｜1｜Genesis 22:1-10』『john｜3｜16｜John 3:16-21』
085226	105592	45	5	12	【Death in Adam, Life in Christ】	『genesis｜3｜1｜Genesis 3:1-7』『genesis｜7｜1｜Genesis 7:1-5』『2_peter｜3｜1｜2 Peter 3:1-9』
085474	105880	45	6	1	【Dead to Sin, Alive to God】	『2_corinthians｜4｜7｜2 Corinthians 4:7-18』
085683	106145	45	6	15	<pm>¶</pm>【The Wages of Sin】	『1_peter｜3｜14｜1 Peter 3:14-22』
085841	106339	45	7	1	【Release from the Law】	『galatians｜3｜15｜Galatians 3:15-25』
085977	106499	45	7	7	【God's Law is Holy】	
086079	106625	45	7	13	<pm>¶</pm>【Struggling with Sin】	
086310	106908	45	8	1	【Living in the Spirit】	『galatians｜5｜16｜Galatians 5:16-26』
086515	107165	45	8	12	【Heirs with Christ】	『genesis｜21｜1｜Genesis 21:1-8』『galatians｜4｜1｜Galatians 4:1-7』
086597	107271	45	8	18	【Future Glory】	『2_corinthians｜5｜1｜2 Corinthians 5:1-10』
086761	107476	45	8	28	<pm>¶</pm>【God Works In All Things】	『ephesians｜1｜3｜Ephesians 1:3-14』
086879	107626	45	8	35	<pm>¶</pm>【More than Conquerors】	『psalms｜44｜1｜Psalm 44:1-26』
086962	107729	45	9	1	【Paul's Concern for the Jews】	
087047	107834	45	9	6	【God's Sovereign Choice】	『genesis｜25｜19｜Genesis 25:19-28』『malachi｜1｜1｜Malachi 1:1-5』
087239	108078	45	9	19	<pm>¶</pm>【The Calling of the Gentiles】	
087429	108312	45	9	30	【Israel's Unbelief】	
087487	108386	45	10	1	【The Word Brings Salvation】	
087827	108817	45	11	1	【The Remnant of Israel】	
088000	109043	45	11	11	【The Ingrafting of the Gentiles】	
088236	109335	45	11	25	【All Israel Shall Be Saved】	
088355	109486	45	11	33	<pm>¶</pm>【A Hymn of Praise】	『romans｜16｜25｜Romans 16:25-27』『jude｜1｜24｜Jude 1:24-25』
088408	109555	45	12	1	【Living Sacrifices】	『1_corinthians｜3｜16｜1 Corinthians 3:16-18』『1_corinthians｜6｜18｜1 Corinthians 6:18-20』
088566	109745	45	12	9	【Love, Zeal, Hope, Hospitality】	『john｜13｜31｜John 13:31-35』『1_john｜3｜11｜1 John 3:11-24』
088611	109810	45	12	14	<pm>¶</pm>【Forgiveness】	『matthew｜18｜21｜Matthew 18:21-35』
088713	109944	45	13	1	【Submission to Authorities】	『1_peter｜2｜13｜1 Peter 2:13-20』
088857	110116	45	13	8	【Love Fulfills the Law】	『leviticus｜19｜9｜Leviticus 19:9-18』
088912	110183	45	13	11	<pm>¶</pm>【Put On Christ】	
088983	110270	45	14	1	【The Law of Liberty】	『matthew｜7｜1｜Matthew 7:1-6』『luke｜6｜37｜Luke 6:37-42』
089182	110525	45	14	13	【The Law of Love】	『ezekiel｜14｜1｜Ezekiel 14:1-11』『1_corinthians｜8｜1｜1 Corinthians 8:1-13』
089362	110753	45	15	1	【Accept One Another】	
089458	110874	45	15	7	【Christ the Servant of Jews and Gentiles】	
089574	111018	45	15	14	【Paul the Minister to the Gentiles】	
089729	111209	45	15	23	<pm>¶</pm>【Paul's Travel Plans】	『1_corinthians｜16｜5｜1 Corinthians 16:5-9』
089905	111429	45	16	1	【Personal Greetings and Love】	
090138	111726	45	16	17	【Avoid Divisions】	
090230	111836	45	16	21	【Greetings from Paul's Companions】	
090276	111909	45	16	25	【Doxology】	『romans｜11｜33｜Romans 11:33-36』『jude｜1｜24｜Jude 1:24-25』
090329	111976	46	1	1	<pm>¶</pm>【Greetings from Paul】	『2_corinthians｜1｜1｜2 Corinthians 1:1-2』
090384	112043	46	1	4	【Thanksgiving】	『philippians｜1｜3｜Philippians 1:3-11』『colossians｜1｜3｜Colossians 1:3-14』『2_thessalonians｜1｜3｜2 Thessalonians 1:3-4』
090468	112151	46	1	10	【Unity in the Church】	『psalms｜133｜1｜Psalm 133:1-3』『ephesians｜4｜1｜Ephesians 4:1-16』
090606	112321	46	1	18	【The Message of the Cross】	
090732	112479	46	1	26	【Wisdom from God】	
090828	112600	46	2	1	【Paul's Message by the Spirit's Power】	
090905	112697	46	2	6	【Spiritual Wisdom】	
091116	112952	46	3	1	【God's Fellow Workers】	
091243	113115	46	3	10	<pm>¶</pm>【Christ Our Foundation】	『isaiah｜28｜14｜Isaiah 28:14-22』『1_peter｜2｜4｜1 Peter 2:4-12』
091337	113233	46	3	16	<pm>¶</pm>【You are God's Temple】	『romans｜12｜1｜Romans 12:1-8』『1_corinthians｜6｜18｜1 Corinthians 6:18-20』
091372	113276	46	3	18	【Worldly Wisdom】	
091456	113384	46	4	1	【Servants of Christ】	
091542	113490	46	4	6	【Fools for Christ】	
091681	113661	46	4	14	【Paul Warns his Children】	
091801	113814	46	5	1	【Immorality Rebuked】	『leviticus｜20｜10｜Leviticus 20:10-21』『proverbs｜5｜1｜Proverbs 5:1-23』
091944	113989	46	5	9	<pm>¶</pm>【Expel the Immoral Brother】	
092022	114087	46	6	1	【Lawsuits among Believers】	
092138	114234	46	6	9	<pm>¶</pm>【Members of Christ】	
092304	114437	46	6	18	<pm>¶</pm>【The Temple of the Holy Spirit】	『romans｜12｜1｜Romans 12:1-8』『1_corinthians｜3｜16｜1 Corinthians 3:16-18』
092358	114512	46	7	1	<pm>¶</pm>【Principles of Marriage】	
092639	114857	46	7	17	【Live Your Calling】	
092738	114988	46	7	25	【The Unmarried and Widowed】	
093045	115359	46	8	1	【Food Sacrificed to Idols】	『ezekiel｜14｜1｜Ezekiel 14:1-11』『romans｜14｜13｜Romans 14:13-23』
093270	115637	46	9	1	【The Rights of an Apostle】	『deuteronomy｜18｜1｜Deuteronomy 18:1-8』
093580	116019	46	9	19	【Paul the Servant to All】	
093658	116117	46	9	24	【Run Your Race to Win】	
093720	116195	46	10	1	【Warnings from Israel's Past】	『numbers｜16｜41｜Numbers 16:41-50』『numbers｜25｜1｜Numbers 25:1-5』
093917	116444	46	10	14	【Flee from Idolatry】	『exodus｜20｜22｜Exodus 20:22-23』『leviticus｜19｜1｜Leviticus 19:1-8』
094038	116603	46	10	23	【All to God's Glory】	
094183	116802	46	11	1	<pm>¶</pm>【Roles in Worship】	
094416	117099	46	11	17	【Sharing in the Lord's Supper】	『matthew｜26｜26｜Matthew 26:26-30』『mark｜14｜22｜Mark 14:22-26』『luke｜22｜14｜Luke 22:14-23』
094714	117469	46	12	1	【Spiritual Gifts】	
094864	117664	46	12	12	【The Body of Christ】	
095115	117975	46	12	27	<pm>¶</pm>【The Greater Gifts】	
095185	118065	46	13	1	【Love】	
095381	118314	46	14	1	【Prophecy and Tongues】	
095800	118833	46	14	26	【Orderly Worship】	
095989	119082	46	15	1	【The Resurrection of Christ】	
096150	119287	46	15	12	【The Resurrection of the Dead】	
096260	119430	46	15	20	【The Order of Resurrection】	
096475	119705	46	15	35	【The Resurrection Body】	
096688	119978	46	15	50	【Where, O Death, is Your Victory?】	『isaiah｜57｜1｜Isaiah 57:1-2』『hosea｜13｜14｜Hosea 13:14』
096836	120163	46	16	1	【The Collection for the Saints】	
096900	120242	46	16	5	【Paul's Travel Plans】	『romans｜15｜23｜Romans 15:23-33』
096961	120323	46	16	10	【Timothy Commended】	
097025	120399	46	16	13	【Concluding Exhortations】	
097097	120495	46	16	19	【Final Greetings】	『2_thessalonians｜3｜16｜2 Thessalonians 3:16-18』
097159	120582	47	1	1	【Paul Greets the Corinthians】	『1_corinthians｜1｜1｜1 Corinthians 1:1-3』
097200	120631	47	1	3	【The God of All Comfort】	
097391	120858	47	1	12	【Paul's Change of Plans】	
097647	121166	47	2	1	<pm>¶</pm>【Reaffirm Your Love】	
097817	121380	47	2	12	【Triumph in Christ】	
097932	121519	47	3	1	【Ministers of a New Covenant】	
098035	121646	47	3	7	<pm>¶</pm>【The Glory of the New Covenant】	『exodus｜34｜29｜Exodus 34:29-35』
098228	121887	47	4	1	【The Light of the Gospel】	
098351	122034	47	4	7	【Treasures in Jars of Clay】	『romans｜6｜1｜Romans 6:1-14』
098550	122281	47	5	1	【Our Eternal Dwelling】	『romans｜8｜18｜Romans 8:18-27』
098699	122470	47	5	11	【Ambassadors for Christ】	
098888	122703	47	6	1	【Paul's Hardships and God's Grace】	
099062	122929	47	6	14	【Do Not Be Unequally Yoked】	『exodus｜29｜45｜Exodus 29:45-46』
099154	123041	47	7	1	【Paul's Joy in the Corinthians】	
099483	123435	47	8	1	【Generosity Commended】	
099620	123604	47	8	9	<pm>¶</pm>【Christ's Example】	
099741	123753	47	8	16	【Titus Commended】	『titus｜1｜1｜Titus 1:1-4』
099893	123941	47	9	1	【God Loves a Cheerful Giver】	『leviticus｜22｜17｜Leviticus 22:17-33』
100177	124285	47	10	1	【Paul's Apostolic Authority】	
100488	124668	47	11	1	【Paul and the False Apostles】	
100732	124972	47	11	16	【Paul's Suffering and Service】	『colossians｜1｜24｜Colossians 1:24-29』
100988	125300	47	12	1	【Paul's Revelation】	
101058	125386	47	12	5	<pm>¶</pm>【Paul's Thorn and God's Grace】	
101180	125532	47	12	11	【Concern for the Corinthians】	
101400	125796	47	13	1	【Examine Yourselves】	
101587	126023	47	13	11	【Final Greetings and Blessing】	
101636	126089	48	1	1	【Paul's Greeting to the Galatians】	
101711	126184	48	1	6	【No Other Gospel】	
101775	126264	48	1	10	【Paul Preaches the Gospel】	
102000	126549	48	2	1	【The Council at Jerusalem】	
102177	126766	48	2	11	【Paul Confronts Cephas】	
102386	127019	48	3	1	【Faith and Belief】	『genesis｜15｜1｜Genesis 15:1-7』『romans｜4｜1｜Romans 4:1-12』『hebrews｜11｜8｜Hebrews 11:8-19』『james｜2｜14｜James 2:14-26』
102499	127172	48	3	10	【Christ Redeemed Us】	『deuteronomy｜21｜22｜Deuteronomy 21:22-23』
102598	127291	48	3	15	【The Purpose of the Law】	『romans｜7｜1｜Romans 7:1-6』
102788	127525	48	3	26	<pm>¶</pm>【Sons Through Faith in Christ】	
102841	127594	48	4	1	【Sons and Heirs】	『genesis｜21｜1｜Genesis 21:1-8』『romans｜8｜12｜Romans 8:12-17』
102941	127722	48	4	8	【Paul's Fears for the Galatians】	
103112	127945	48	4	21	【Hagar and Sarah】	
103285	128163	48	5	1	【Freedom in Christ】	
103467	128405	48	5	16	<pm>¶</pm>【Living by the Spirit】	『romans｜8｜9｜Romans 8:9-11』
103599	128581	48	6	1	【Carry One Another's Burdens】	
103745	128767	48	6	11	【Paul's Final Warning】	
103819	128862	48	6	16	<pm>¶</pm>【Benediction】	
103866	128921	49	1	1	【Paul's Greeting to the Ephesians】	
103896	128959	49	1	3	【Spiritual Blessings】	『romans｜8｜28｜Romans 8:28-34』
104098	129209	49	1	15	【Spiritual Wisdom】	
104267	129414	49	2	1	【Alive with Christ】	
104432	129619	49	2	11	<pm>¶</pm>【One in Christ】	
104578	129797	49	2	19	<pm>¶</pm>【A Temple in the Lord】	
104629	129864	49	3	1	【The Mystery of the Gospel】	
104831	130118	49	3	14	【Paul's Prayer for the Ephesians】	
104954	130278	49	4	1	【Unity in the Body】	『psalms｜133｜1｜Psalm 133:1-3』『1_corinthians｜1｜10｜1 Corinthians 1:10-17』
105204	130593	49	4	17	【New Life in Christ 】	
105437	130890	49	5	1	【Imitators of God】	
105541	131022	49	5	8	<pm>¶</pm>【Children of Light】	
105699	131232	49	5	21	<pm>¶</pm>【Wives and Husbands】	『songs｜1｜1｜Song of Solomon 1:1-3』『1_peter｜3｜1｜1 Peter 3:1-7』
105894	131488	49	6	1	【Children and Parents】	『deuteronomy｜6｜20｜Deuteronomy 6:20-25』
105945	131555	49	6	5	【Slaves and Masters】	『1_timothy｜6｜1｜1 Timothy 6:1-2』
106032	131662	49	6	10	【The Armor of God】	
106222	131896	49	6	21	【Final Greetings】	
106288	131978	50	1	1	【Greetings from Paul and Timothy】	『2_samuel｜6｜12｜2 Samuel 6:12-15』『1_chronicles｜15｜1｜1 Chronicles 15:1-14』『colossians｜1｜1｜Colossians 1:1-2』
106320	132018	50	1	3	【Thanksgiving and Prayer】	『1_corinthians｜1｜4｜1 Corinthians 1:4-9』『colossians｜1｜3｜Colossians 1:3-14』『2_thessalonians｜1｜3｜2 Thessalonians 1:3-4』
106464	132198	50	1	12	【Paul's Trials Advance the Gospel】	『james｜1｜2｜James 1:2-8』
106620	132392	50	1	21	<pm>¶</pm>【To Live is Christ】	
106707	132503	50	1	27	【Worthy of the Gospel】	
106789	132601	50	2	1	【One in Christ】	
106847	132675	50	2	5	【The Attitude of Christ】	『isaiah｜52｜13｜Isaiah 52:13-15』
106932	132788	50	2	12	【Shining as Stars】	『matthew｜5｜13｜Matthew 5:13-16』
107047	132931	50	2	19	【Timothy and Epaphroditus】	
