BGBsort	Book	Chapter	Verse	Heading	Crossref
34227	41	14	3	Jesus Anointed at Bethany	『matthew｜26｜6｜Matthew 26:6-13』『john｜12｜1｜John 12:1-8』
34380	41	14	10	Judas Agrees to Betray Jesus	『zechariah｜11｜10｜Zechariah 11:10-17』『matthew｜26｜14｜Matthew 26:14-16』『matthew｜27｜3｜Matthew 27:3-10』
34418	41	14	12	Preparing the Passover	『psalms｜41｜1｜Psalm 41:1-13』『matthew｜26｜17｜Matthew 26:17-25』『luke｜22｜7｜Luke 22:7-13』『john｜13｜18｜John 13:18-30』
34641	41	14	22	The Last Supper	『matthew｜26｜26｜Matthew 26:26-30』『luke｜22｜14｜Luke 22:14-23』『1_corinthians｜11｜17｜1 Corinthians 11:17-34』
34738	41	14	27	Jesus Predicts Peter's Denial	『matthew｜26｜31｜Matthew 26:31-35』『luke｜22｜31｜Luke 22:31-38』『john｜13｜36｜John 13:36-38』
34843	41	14	32	Jesus Prays at Gethsemane	『matthew｜26｜36｜Matthew 26:36-46』『luke｜22｜39｜Luke 22:39-46』
35068	41	14	43	The Betrayal of Jesus	『matthew｜26｜47｜Matthew 26:47-56』『luke｜22｜47｜Luke 22:47-53』『john｜18｜1｜John 18:1-14』
35249	41	14	53	Jesus Faces the Sanhedrin	『isaiah｜53｜1｜Isaiah 53:1-8』『matthew｜26｜57｜Matthew 26:57-68』『john｜18｜19｜John 18:19-24』『1_peter｜2｜21｜1 Peter 2:21-25』
35523	41	14	66	Peter Denies Jesus	『matthew｜26｜69｜Matthew 26:69-75』『luke｜22｜54｜Luke 22:54-62』『john｜18｜15｜John 18:15-18』
35684	41	15	1	Jesus Delivered to Pilate	『matthew｜27｜1｜Matthew 27:1-2』
35775	41	15	6	The Crowd Chooses Barabbas	『matthew｜27｜15｜Matthew 27:15-23』『luke｜23｜13｜Luke 23:13-25』
35866	41	15	12	Pilate Delivers up Jesus	『matthew｜27｜24｜Matthew 27:24-26』
