Book	Chapter	Verse	【Heading】
40	16	24	【Take Up Your Cross】 (<a href='bible://matthew.10.37'>Matthew 10:37-39</a>; <a href='bible://mark.8.34'>Mark 8:34-38</a>; <a href='bible://luke.9.23'>Luke 9:23-27</a>)
40	17	1	【The Transfiguration】 (<a href='bible://mark.9.1'>Mark 9:1-13</a>; <a href='bible://luke.9.28'>Luke 9:28-36</a>; <a href='bible://2_peter.1.16'>2 Peter 1:16-21</a>)
40	17	14	【The Boy with a Demon】 (<a href='bible://mark.9.14'>Mark 9:14-29</a>; <a href='bible://luke.9.37'>Luke 9:37-42</a>; <a href='bible://luke.17.5'>Luke 17:5-10</a>)
40	17	22	【The Second Prediction of the Passion】 (<a href='bible://mark.9.30'>Mark 9:30-32</a>; <a href='bible://luke.9.43'>Luke 9:43-45</a>)
40	17	24	【The Temple Tax】
40	18	1	【The Greatest in the Kingdom】 (<a href='bible://mark.9.33'>Mark 9:33-37</a>; <a href='bible://luke.9.46'>Luke 9:46-50</a>)
40	18	7	<pm>¶</pm>【Temptations and Trespasses】 (<a href='bible://mark.9.42'>Mark 9:42-50</a>; <a href='bible://luke.17.1'>Luke 17:1-4</a>)
40	18	10	【The Parable of the Lost Sheep】 (<a href='bible://luke.15.1'>Luke 15:1-7</a>)
40	18	15	【A Brother who Sins】 (<a href='bible://deuteronomy.19.15'>Deuteronomy 19:15-21</a>)
40	18	21	【The Unforgiving Servant】 (<a href='bible://romans.12.14'>Romans 12:14-21</a>)
40	19	1	<pm>¶</pm>【Teachings about Divorce】 (<a href='bible://mark.10.1'>Mark 10:1-12</a>)
40	19	13	【Jesus Blesses the Children】 (<a href='bible://mark.10.13'>Mark 10:13-16</a>; <a href='bible://luke.18.15'>Luke 18:15-17</a>)
40	19	16	【The Rich Young Man】 (<a href='bible://mark.10.17'>Mark 10:17-31</a>; <a href='bible://luke.18.18'>Luke 18:18-30</a>)
40	20	1	【The Parable of the Workers】
40	20	17	【The Third Prediction of the Passion】 (<a href='bible://mark.10.32'>Mark 10:32-34</a>; <a href='bible://luke.18.31'>Luke 18:31-34</a>)
40	20	20	【A Mother's Request】 (<a href='bible://mark.10.35'>Mark 10:35-45</a>)
40	20	29	【The Blind Men by the Road】 (<a href='bible://mark.10.46'>Mark 10:46-52</a>; <a href='bible://luke.18.35'>Luke 18:35-43</a>)
40	21	1	【The Triumphal Entry】 (<a href='bible://zechariah.9.9'>Zechariah 9:9-13</a>; <a href='bible://mark.11.1'>Mark 11:1-11</a>; <a href='bible://luke.19.28'>Luke 19:28-40</a>; <a href='bible://john.12.12'>John 12:12-19</a>)
40	21	12	【Jesus Cleanses the Temple】 (<a href='bible://mark.11.15'>Mark 11:15-19</a>; <a href='bible://luke.19.45'>Luke 19:45-48</a>; <a href='bible://john.2.12'>John 2:12-25</a>)
40	21	18	【The Barren Fig Tree】 (<a href='bible://mark.11.12'>Mark 11:12-14</a>; <a href='bible://mark.11.20'>Mark 11:20-26</a>)
40	21	23	【Jesus' Authority Challenged】 (<a href='bible://mark.11.27'>Mark 11:27-33</a>; <a href='bible://luke.20.1'>Luke 20:1-8</a>)
40	21	28	【The Parable of the Two Sons】
40	21	33	【The Parable of the Wicked Tenants】 (<a href='bible://mark.12.1'>Mark 12:1-12</a>; <a href='bible://luke.20.9'>Luke 20:9-18</a>)
40	22	1	【The Parable of the Banquet】 (<a href='bible://luke.14.15'>Luke 14:15-24</a>)
40	22	15	【Paying Taxes to Caesar】 (<a href='bible://mark.12.13'>Mark 12:13-17</a>; <a href='bible://luke.20.19'>Luke 20:19-26</a>)
40	22	23	【The Sadducees and the Resurrection】 (<a href='bible://mark.12.18'>Mark 12:18-27</a>; <a href='bible://luke.20.27'>Luke 20:27-40</a>)
40	22	34	【The Greatest Commandment】 (<a href='bible://deuteronomy.6.1'>Deuteronomy 6:1-19</a>; <a href='bible://mark.12.28'>Mark 12:28-34</a>)
40	22	41	【Whose Son is the Christ?】 (<a href='bible://mark.12.35'>Mark 12:35-37</a>; <a href='bible://luke.20.41'>Luke 20:41-44</a>)
40	23	1	【Woes to Scribes and Pharisees】 (<a href='bible://luke.11.37'>Luke 11:37-54</a>)
40	23	37	【Lament over Jerusalem】 (<a href='bible://luke.13.31'>Luke 13:31-35</a>)
40	24	1	【Temple Destruction Foretold】 (<a href='bible://mark.13.1'>Mark 13:1-9</a>; <a href='bible://luke.21.5'>Luke 21:5-9</a>)
40	24	3	【Signs of the End of the Age】
40	24	9	【Witnessing to All Nations】 (<a href='bible://mark.13.10'>Mark 13:10-13</a>; <a href='bible://luke.21.10'>Luke 21:10-19</a>)
40	24	15	【The Abomination of Desolation】 (<a href='bible://mark.13.14'>Mark 13:14-23</a>; <a href='bible://luke.21.20'>Luke 21:20-24</a>)
40	24	26	<pm>¶</pm>【The Return of the Son of Man】 (<a href='bible://mark.13.24'>Mark 13:24-27</a>; <a href='bible://luke.21.25'>Luke 21:25-28</a>)
40	24	32	<pm>¶</pm>【The Lesson of the Fig Tree】 (<a href='bible://mark.13.28'>Mark 13:28-31</a>; <a href='bible://luke.21.29'>Luke 21:29-33</a>)
40	24	36	【Readiness at Any Hour】 (<a href='bible://genesis.6.1'>Genesis 6:1-7</a>; <a href='bible://mark.13.32'>Mark 13:32-37</a>; <a href='bible://luke.12.35'>Luke 12:35-48</a>)
40	25	1	【The Parable of the Ten Virgins】
40	25	14	<pm>¶</pm>【The Parable of the Talents】 (<a href='bible://luke.19.11'>Luke 19:11-27</a>)
40	25	31	【The Sheep and the Goats】
40	26	1	【The Plot to Kill Jesus】 (<a href='bible://mark.14.1'>Mark 14:1-2</a>; <a href='bible://luke.22.1'>Luke 22:1-6</a>; <a href='bible://john.11.45'>John 11:45-57</a>)
40	26	6	【Jesus Anointed at Bethany】 (<a href='bible://mark.14.3'>Mark 14:3-9</a>; <a href='bible://john.12.1'>John 12:1-8</a>)
40	26	14	【Judas Agrees to Betray Jesus】 (<a href='bible://zechariah.11.10'>Zechariah 11:10-17</a>; <a href='bible://matthew.27.3'>Matthew 27:3-10</a>; <a href='bible://mark.14.10'>Mark 14:10-11</a>)
40	26	17	<pm>¶</pm>【Preparing the Passover】 (<a href='bible://psalms.41.1'>Psalm 41:1-13</a>; <a href='bible://mark.14.12'>Mark 14:12-21</a>; <a href='bible://luke.22.7'>Luke 22:7-13</a>; <a href='bible://john.13.18'>John 13:18-30</a>)
40	26	26	【The Last Supper】 (<a href='bible://mark.14.22'>Mark 14:22-26</a>; <a href='bible://luke.22.14'>Luke 22:14-23</a>; <a href='bible://1_corinthians.11.17'>1 Corinthians 11:17-34</a>)
40	26	31	【Jesus Predicts Peter's Denial】 (<a href='bible://mark.14.27'>Mark 14:27-31</a>; <a href='bible://luke.22.31'>Luke 22:31-38</a>; <a href='bible://john.13.36'>John 13:36-38</a>)
40	26	36	【Jesus Prays at Gethsemane】 (<a href='bible://mark.14.32'>Mark 14:32-42</a>; <a href='bible://luke.22.39'>Luke 22:39-46</a>)
40	26	47	【The Betrayal of Jesus】 (<a href='bible://mark.14.43'>Mark 14:43-52</a>; <a href='bible://luke.22.47'>Luke 22:47-53</a>; <a href='bible://john.18.1'>John 18:1-14</a>)
40	26	57	【Jesus Faces the Sanhedrin】 (<a href='bible://isaiah.53.1'>Isaiah 53:1-8</a>; <a href='bible://mark.14.53'>Mark 14:53-65</a>; <a href='bible://john.18.19'>John 18:19-24</a>; <a href='bible://1_peter.2.21'>1 Peter 2:21-25</a>)
40	26	69	【Peter Denies Jesus】 (<a href='bible://mark.14.66'>Mark 14:66-72</a>; <a href='bible://luke.22.54'>Luke 22:54-62</a>; <a href='bible://john.18.15'>John 18:15-18</a>)
40	27	1	【Jesus Delivered to Pilate】 (<a href='bible://mark.15.1'>Mark 15:1-5</a>)
40	27	3	【Judas Hangs Himself】 (<a href='bible://zechariah.11.10'>Zechariah 11:10-17</a>; <a href='bible://matthew.26.14'>Matthew 26:14-16</a>; <a href='bible://mark.14.10'>Mark 14:10-11</a>)
40	27	11	【Jesus Before Pilate】 (<a href='bible://luke.23.1'>Luke 23:1-6</a>; <a href='bible://john.18.28'>John 18:28-40</a>)
40	27	15	【The Crowd Chooses Barabbas】 (<a href='bible://mark.15.6'>Mark 15:6-11</a>; <a href='bible://luke.23.13'>Luke 23:13-25</a>)
40	27	24	【Pilate Washes his Hands】 (<a href='bible://mark.15.12'>Mark 15:12-15</a>)
40	27	27	【The Soldiers Mock Jesus】 (<a href='bible://isaiah.50.4'>Isaiah 50:4-11</a>; <a href='bible://mark.15.16'>Mark 15:16-20</a>; <a href='bible://luke.22.63'>Luke 22:63-65</a>; <a href='bible://john.19.1'>John 19:1-15</a>)
40	27	32	<pm>¶</pm>【The Crucifixion】 (<a href='bible://psalms.22.1'>Psalm 22:1-36</a>; <a href='bible://psalms.69.1'>Psalm 69:1-36</a>; <a href='bible://mark.15.21'>Mark 15:21-32</a>; <a href='bible://luke.23.26'>Luke 23:26-43</a>; <a href='bible://john.19.16'>John 19:16-27</a>)
40	27	45	【The Death of Jesus】 (<a href='bible://psalms.22.1'>Psalm 22:1-31</a>; <a href='bible://mark.15.33'>Mark 15:33-41</a>; <a href='bible://luke.23.44'>Luke 23:44-49</a>; <a href='bible://john.19.28'>John 19:28-30</a>)
40	27	57	【The Burial of Jesus】 (<a href='bible://isaiah.53.9'>Isaiah 53:9-12</a>; <a href='bible://mark.15.42'>Mark 15:42-47</a>; <a href='bible://luke.23.50'>Luke 23:50-56</a>; <a href='bible://john.19.38'>John 19:38-42</a>)
40	27	62	【The Guards at the Tomb】
40	28	1	<pm>¶</pm>【The Resurrection】 (<a href='bible://psalms.16.1'>Psalm 16:1-11</a>; <a href='bible://psalms.49.1'>Psalm 49:1-20</a>; <a href='bible://mark.16.1'>Mark 16:1-8</a>; <a href='bible://luke.24.1'>Luke 24:1-12</a>; <a href='bible://john.20.1'>John 20:1-9</a>)
40	28	11	【The Report of the Guards】
40	28	16	【The Great Commission】 (<a href='bible://mark.16.14'>Mark 16:14-18</a>)
41	1	1	【The Mission of John the Baptist】 (<a href='bible://isaiah.40.1'>Isaiah 40:1-5</a>; <a href='bible://matthew.3.1'>Matthew 3:1-12</a>; <a href='bible://luke.3.1'>Luke 3:1-20</a>; <a href='bible://john.1.19'>John 1:19-28</a>)
41	1	9	【The Baptism of Jesus】 (<a href='bible://matthew.3.13'>Matthew 3:13-17</a>; <a href='bible://luke.3.21'>Luke 3:21-22</a>; <a href='bible://john.1.29'>John 1:29-34</a>)
41	1	12	【The Temptation of Jesus】 (<a href='bible://matthew.4.1'>Matthew 4:1-11</a>; <a href='bible://luke.4.1'>Luke 4:1-13</a>)
41	1	14	【Jesus Preaches in Galilee】 (<a href='bible://isaiah.9.1'>Isaiah 9:1-7</a>; <a href='bible://matthew.4.12'>Matthew 4:12-17</a>; <a href='bible://luke.4.14'>Luke 4:14-15</a>)
41	1	16	【The First Disciples】 (<a href='bible://matthew.4.18'>Matthew 4:18-22</a>; <a href='bible://matthew.13.47'>Matthew 13:47-52</a>; <a href='bible://luke.5.1'>Luke 5:1-11</a>; <a href='bible://john.1.35'>John 1:35-42</a>)
41	1	21	【Jesus Expels an Unclean Spirit】 (<a href='bible://luke.4.31'>Luke 4:31-37</a>)
41	1	29	【Jesus Heals at Peter's House】 (<a href='bible://matthew.8.14'>Matthew 8:14-17</a>; <a href='bible://luke.4.38'>Luke 4:38-41</a>)
41	1	35	【Jesus Prays and Preaches】 (<a href='bible://luke.4.42'>Luke 4:42-44</a>)
41	1	40	<pm>¶</pm>【The Leper's Prayer】 (<a href='bible://leviticus.14.1'>Leviticus 14:1-32</a>; <a href='bible://matthew.8.1'>Matthew 8:1-4</a>; <a href='bible://luke.5.12'>Luke 5:12-16</a>)
41	2	1	<pm>¶</pm>【Jesus Heals a Paralytic】 (<a href='bible://matthew.9.1'>Matthew 9:1-8</a>; <a href='bible://luke.5.17'>Luke 5:17-26</a>)
41	2	13	【The Calling of Levi】 (<a href='bible://matthew.9.9'>Matthew 9:9-13</a>; <a href='bible://luke.5.27'>Luke 5:27-32</a>)
41	2	18	【Questions about Fasting】 (<a href='bible://matthew.9.14'>Matthew 9:14-15</a>; <a href='bible://luke.5.33'>Luke 5:33-35</a>)
41	2	21	<pm>¶</pm>【The Patches and the Wineskins】 (<a href='bible://matthew.9.16'>Matthew 9:16-17</a>; <a href='bible://luke.5.36'>Luke 5:36-39</a>)
41	2	23	<pm>¶</pm>【The Lord of the Sabbath】 (<a href='bible://1_samuel.21.1'>1 Samuel 21:1-9</a>; <a href='bible://matthew.12.1'>Matthew 12:1-8</a>; <a href='bible://luke.6.1'>Luke 6:1-5</a>)
41	3	1	【Jesus Heals on the Sabbath】 (<a href='bible://matthew.12.9'>Matthew 12:9-14</a>; <a href='bible://luke.6.6'>Luke 6:6-11</a>)
41	3	7	【Multitudes Follow Jesus】
41	3	13	【The Twelve Apostles】 (<a href='bible://matthew.10.1'>Matthew 10:1-4</a>; <a href='bible://luke.6.12'>Luke 6:12-16</a>)
41	3	20	【A House Divided】 (<a href='bible://matthew.12.22'>Matthew 12:22-30</a>; <a href='bible://luke.11.14'>Luke 11:14-23</a>)
41	3	28	【The Unpardonable Sin】 (<a href='bible://matthew.12.31'>Matthew 12:31-32</a>)
41	3	31	【Jesus' Mother and Brothers】 (<a href='bible://matthew.12.46'>Matthew 12:46-50</a>; <a href='bible://luke.8.19'>Luke 8:19-21</a>)
41	4	1	【The Parable of the Sower】 (<a href='bible://matthew.13.1'>Matthew 13:1-9</a>; <a href='bible://luke.8.4'>Luke 8:4-15</a>)
41	4	10	<pm>¶</pm>【The Purpose of Jesus' Parables】 (<a href='bible://matthew.13.10'>Matthew 13:10-17</a>)
41	4	13	<pm>¶</pm>【The Parable of the Sower Explained】 (<a href='bible://matthew.13.18'>Matthew 13:18-23</a>)
41	4	21	【The Lesson of the Lamp】 (<a href='bible://luke.8.16'>Luke 8:16-18</a>)
41	4	26	【The Seed Growing Secretly】
41	4	30	【The Parable of the Mustard Seed】 (<a href='bible://matthew.13.31'>Matthew 13:31-32</a>; <a href='bible://luke.13.18'>Luke 13:18-19</a>)
41	4	35	【Jesus Calms the Storm】 (<a href='bible://matthew.8.23'>Matthew 8:23-27</a>; <a href='bible://luke.8.22'>Luke 8:22-25</a>)
41	5	1	【The Demons and the Pigs】 (<a href='bible://matthew.8.28'>Matthew 8:28-34</a>; <a href='bible://luke.8.26'>Luke 8:26-39</a>)
41	5	21	【The Healing Touch of Jesus】 (<a href='bible://matthew.9.18'>Matthew 9:18-26</a>; <a href='bible://luke.8.40'>Luke 8:40-56</a>)
41	6	1	【The Rejection at Nazareth】 (<a href='bible://isaiah.61.1'>Isaiah 61:1-11</a>; <a href='bible://matthew.2.19'>Matthew 2:19-23</a>; <a href='bible://matthew.13.53'>Matthew 13:53-58</a>; <a href='bible://luke.2.39'>Luke 2:39-40</a>; <a href='bible://luke.4.16'>Luke 4:16-30</a>)
